Word,num_occurrences
blend,17
blender,2
blindness,49
blink,13
block,181
blocks,42
blog,2
blood,1282
bloodstream,28
bloom,30
blooms,23
blow,103
blowing,50
blows,38
blue,706
board,323
boards,21
boat,180
boats,32
bodies,206
body,2076
boil,15
boiling,71
boils,15
bolt,53
bond,148
bonds,27
bone,494
bones,190
bonfire,3
book,569
books,141
boots,16
born,217
boron,17
boston,43
bottle,106
bottled,8
bottles,25
bottom,140
boulder,15
boulders,2
bounce,3
bounces,10
boundaries,20
boundary,114
bowl,83
bowling,66
bowlshaped,0
box,216
boy,135
br,5
brackish,41
brain,345
brakes,9
braking,2
branch,707
branches,415
brand,25
brands,8
brazilians,0
bread,236
breads,4
break,101
breakdown,42
breaking,61
breaks,41
breath,37
breathe,14
breathes,3
breathing,110
breed,243
breeding,45
brianna,0
brick,33
bridge,194
bridges,20
bright,391
brightly,121
brightness,41
bring,50
brings,29
brittle,111
broader,15
broke,16
broken,105
bromide,13
bromine,7
broom,67
brothers,39
brought,96
brown,693
brush,73
brushing,10
bubbles,16
bubbling,2
bucket,23
buds,47
build,46
building,493
buildings,97
builds,42
buildup,5
built,268
buisson,0
bulb,76
bulbs,34
bulldozer,3
bulletproof,3
bumped,0
bundle,48
bundles,11
bunsen,13
buoyancy,16
buoyant,13
burial,39
buried,27
burn,43
burned,84
burner,39
burning,69
burns,86
bury,0
burying,5
bus,55
buses,5
bush,201
businesses,31
busy,12
butter,137
butterflies,50
butterfly,101
button,63
buy,60
buying,32
buzzing,9
c,95
cabin,20
cacti,62
cactus,100
cajon,0
cake,145
calcium,144
calculate,7
calculated,50
calculation,26
calculator,13
california,648
call,181
called,172
calories,5
cambium,5
came,30
camera,84
camouflage,8
camp,78
camper,5
campfire,4
camping,11
campsites,1
campus,2
canada,289
cancel,6
cancer,131
cancerous,10
candle,33
candles,33
candy,93
cans,17
cantaloupe,4
canyon,22
cap,295
capable,174
capacity,187
capillaries,16
caps,34
captivity,25
capture,48
captures,3
capturing,14
car,336
carbohydrate,20
carbohydrates,36
carbon,201
carbonate,48
carbonnitrogen,0
carburetor,8
cardboard,28
cardinals,10
carefully,34
cargo,69
caribbean,86
carnivores,4
carp,20
carpet,66
carpeted,0
carpool,0
carpooling,0
carried,193
carriers,21
carries,165
carrots,14
carry,163
carrying,183
cars,65
cart,56
carton,8
cast,68
cat,149
catcher,22
catches,9
categorize,0
categorized,2
caterpillar,26
caterpillars,17
cats,42
cattle,212
cause,436
caused,720
causes,384
causing,275
cavities,49
ceiling,28
cell,637
cellcycle,0
cells,555
cellular,42
celsius,8
cementation,0
center,612
centers,49
centimeter,21
centimeters,23
central,1922
centuries,101
century,464
cereals,21
certain,473
ch,0
chain,196
chains,35
challenge,17
challenged,11
chameleon,11
chameleons,12
chance,53
chances,4
change,374
changed,42
changes,191
changing,147
channels,26
chant,7
characteristic,252
characteristics,133
characterize,11
characterizes,4
charcoal,26
charge,358
charged,129
charles,218
charlie,4
chart,45
charts,5
cheaper,6
check,122
checked,5
checking,14
cheek,40
cheese,190
chemical,429
chemically,19
chemicals,38
chemist,187
cherry,158
chewing,35
chicken,142
chickens,17
child,235
children,328
chill,7
chips,21
chloride,75
chlorine,39
chlorofluorocarbons,1
chlorophyll,41
chloroplast,3
chloroplasts,1
chocolate,122
cholesterol,61
choose,11
chromatids,2
chromium,19
chromosomes,37
chronic,150
chute,14
cigarettes,14
cilia,11
circle,167
circuit,190
circuits,20
circular,147
circulation,59
circulatory,18
circumference,12
circumstance,11
circumstances,78
cities,43
citrus,90
city,1581
cl,5
claim,54
claims,52
class,676
classes,62
classification,277
classifications,463
classified,111
classify,10
classmate,1
classroom,12
clastic,2
claws,70
clay,128
clean,46
cleaned,11
cleaner,13
cleaning,74
clear,176
cleared,6
clearing,14
clearly,19
cliff,36
cliffs,28
climate,39
climates,21
climb,24
climbed,0
clippings,1
clock,84
clockwise,5
close,213
closed,124
closely,223
closeness,7
closer,17
closest,11
cloth,275
cloud,113
clouds,41
cloudy,8
clues,5
clump,11
clustered,70
clusters,563
cm,13
co,11
coaccretion,0
coagulation,42
coal,130
coalburning,0
coalpowered,0
coast,706
coastal,296
coastline,9
coastlines,0
coat,328
coated,47
coating,77
code,161
coded,20
codons,0
coffee,172
coil,59
coils,10
coin,79
coins,50
cold,207
coldblooded,0
colder,15
coldest,2
collapsed,11
collapses,2
collars,1
collect,45
collected,72
collecting,46
collects,43
college,140
collide,2
collides,2
collision,20
colony,99
color,574
colored,273
colorful,29
coloring,33
colorless,233
colors,155
column,149
columns,35
comb,31
combination,109
combinations,10
combine,29
combined,61
combining,65
combustion,49
come,81
comes,49
comet,9
comets,2
comfortable,23
commensalism,1
commercial,284
commercials,1
commission,85
common,1862
communicate,25
communicating,30
communication,255
communities,10
community,151
compaction,3
companies,49
company,311
compare,14
compared,8
compares,1
comparing,9
comparison,30
compass,135
compete,19
competition,100
competitors,18
complementary,15
complete,174
completed,49
completely,58
completing,8
complex,242
component,123
components,74
composed,201
composition,188
compositions,13
compost,6
composting,0
compound,416
compounds,145
compress,4
compressed,80
compressional,0
computer,559
computers,75
concentrate,14
concentrated,28
concentration,87
concentrations,4
concern,86
concerned,200
concerning,39
concerns,10
conclude,2
concluded,3
conclusion,43
conclusions,14
concrete,49
condensation,23
condense,2
condensed,15
condensing,3
condition,483
conditioner,10
conditioning,23
conditions,193
conduct,136
conducted,73
conducting,38
conduction,35
conductor,87
conducts,48
confident,5
conflict,71
conformity,35
confused,56
conjugate,5
connected,189
connective,61
consequence,128
consequences,20
conservation,36
conserve,3
conserved,5
conserves,6
conserving,0
consider,23
considerable,32
considerably,2
considered,694
considering,2
consist,9
consistent,8
consists,132
constant,147
constantly,18
constellation,116
constellations,2
construct,30
constructed,36
constructing,22
construction,129
consume,0
consumed,11
consumer,42
consumers,10
consumes,3
contact,189
contain,76
contained,71
container,191
containers,14
containing,918
contains,337
contaminate,0
contaminated,23
contaminates,4
content,86
contents,56
contest,67
continent,51
continental,50
continents,13
continually,6
continue,34
continued,27
continues,21
continuing,45
continuous,140
continuously,20
contracted,14
contracts,39
contribute,8
contributed,48
control,617
controlling,84
controls,120
convection,3
convergent,3
converging,9
convert,21
converted,59
converting,36
converts,58
cooking,178
cool,59
cooled,32
cooler,21
cooling,41
cools,6
coolseason,0
cooperative,19
cooperativeness,1
copper,129
coral,152
corals,36
cord,234
cords,37
core,61
coriolis,9
cork,34
corn,235
cornfields,2
cornu,1
corporation,111
correct,62
correctly,5
cost,107
costs,19
cotton,213
could,71
count,59
counter,89
countries,190
couple,31
course,305
cover,214
covered,347
covering,366
covers,116
cow,60
cows,11
coyote,9
coyotes,0
crack,37
cracking,11
cracks,14
crater,13
craters,2
crawls,4
cream,202
create,64
created,376
creates,41
creating,69
creative,42
creatures,4
credit,155
crew,76
cricket,56
crickets,10
criminal,146
critical,56
crop,101
crops,56
cross,193
crossbred,2
crossed,33
crosspollination,0
crumpled,0
crushed,50
crushes,2
crushing,32
crust,82
crustal,5
crystal,87
crystallike,0
crystallization,16
crystals,77
cu,5
cube,35
cubes,11
cubic,51
culture,173
cup,133
cups,16
curly,35
current,355
currents,52
curved,186
custom,42
customer,45
customers,82
cut,331
cuts,61
cutting,220
cycle,117
cycles,11
cylinder,102
cytoplasm,46
cytosine,7
daily,52
dairy,31
dam,24
damage,113
damages,46
damp,72
dams,13
dangerous,111
dangers,0
dark,814
data,261
date,117
david,91
day,664
daylight,34
days,141
daytime,9
dc,3
dcell,0
ddt,5
dead,208
dealing,139
death,417
deaths,9
debris,20
decades,0
decay,70
decaying,46
decays,7
december,28
decibels,2
decide,18
decided,5
decides,1
deciduous,679
decimating,0
decline,37
declines,2
decompose,0
decomposed,10
decomposer,0
decomposers,0
decomposing,13
decomposition,17
decorative,114
decrease,72
decreased,13
decreases,17
decreasing,17
deep,436
deeper,11
deeperrooted,0
deeprooted,0
deer,132
defense,198
defined,70
definite,46
definition,23
deflect,0
defoliation,4
deforestation,2
deforested,0
degradation,5
degrees,139
delays,18
delete,2
deliberately,75
delivers,44
delta,45
deltas,0
demand,48
demonstrate,7
demonstrated,21
demonstrates,7
demonstration,20
den,15
dennis,1
dense,289
denser,5
densities,1
density,78
department,411
depend,11
dependent,40
depends,38
deplete,0
depleted,2
depleting,0
depletion,8
deposited,59
depositing,10
deposition,17
deposits,78
depressions,0
depth,62
depths,9
derek,0
desalination,1
descendants,28
descended,46
describe,33
described,81
describes,17
describing,73
description,56
descriptions,23
desert,273
desertlike,0
design,133
designed,439
designing,28
designs,39
desirable,25
desktop,6
destroy,74
destroyed,77
destruction,109
destructive,101
detail,36
detailed,47
details,28
detect,68
detector,17
detects,25
determination,54
determine,143
determined,79
determines,34
determining,68
deters,1
detroit,12
develop,89
developed,328
developing,78
development,365
develops,108
device,761
devil,39
devils,11
dew,8
dftd,0
diagram,29
diagrams,9
dialysis,8
diameter,49
diamonds,13
diaphragm,42
die,52
died,84
diesel,23
diet,106
diets,2
difference,94
differences,39
different,453
differentiate,1
differentiation,22
differently,13
differentsized,0
differs,19
difficult,123
difficulty,88
dig,12
digested,2
digesting,0
digestion,38
digestive,51
digests,2
digging,22
dilute,8
dim,11
dimensional,5
diminishes,4
dimples,0
dinosaur,90
dinosaurs,77
dioxide,71
dip,40
direct,143
directing,12
direction,272
directions,60
directly,117
dirt,42
dirty,47
disadvantage,8
disappear,0
disappearance,13
disappeared,9
disappearing,1
disasters,8
discard,7
discontinue,0
discourage,3
discovered,288
discoveries,13
discovering,11
discovers,1
discovery,59
discuss,12
discussed,4
discussing,0
discussion,65
disease,1047
diseases,168
dish,102
disinfectant,24
disinfecting,3
disinfection,2
disks,17
dispersal,2
dispersing,10
displaced,13
display,178
displays,37
disposable,10
disposal,17
dispose,10
disposing,24
disproof,5
disprove,0
disproved,7
disregarded,2
disrupted,4
disruption,7
dissecting,0
dissipate,3
dissolve,9
dissolved,38
dissolves,9
dissolving,15
distance,247
distances,38
distant,53
distilled,60
distinctive,140
distinguish,40
distinguishes,1
distracted,0
distribution,193
disturb,4
diverge,8
divergent,10
diverging,9
diverse,37
diversity,6
divide,38
divided,229
dividing,48
diving,84
division,316
dna,156
doctor,111
doctors,2
documents,43
dog,279
dogma,12
dogs,107
dogwood,26
dolphins,19
domains,0
domestic,244
dominance,14
dominant,55
dominic,3
donate,0
donated,7
done,172
door,183
doorbell,3
doppler,8
dormancy,4
dormant,5
dose,35
double,191
doubled,8
dough,62
downhill,3
downriver,0
downstream,3
downward,62
drains,51
drank,4
draw,64
drawn,147
drier,11
drift,21
drifted,0
drill,84
drink,174
drinking,116
dripped,0
drive,135
driven,91
drivers,7
driveway,1
driving,57
drop,70
droplets,6
dropped,19
drops,32
drought,6
drove,18
drug,748
drummer,5
drums,7
dry,367
dryer,15
drying,62
duck,123
due,199
dump,16
dune,18
dunes,25
duplicating,2
dust,108
dwarf,156
dwarfism,7
dwellers,0
dynamic,14
dysentery,19
eagles,9
ear,189
earlier,69
earlobe,2
earlobes,0
early,446
ears,153
earth,433
earthmoonsun,0
earthquake,23
earthquakes,13
earthsunmoon,0
earthworms,8
ease,31
easier,7
easily,137
east,799
eastern,1869
eastward,61
easy,93
eat,42
eaten,182
eating,132
eats,21
eclipse,17
eclipses,1
ecological,5
ecologists,0
economic,212
ecosystem,5
ecosystems,1
edge,225
edison,9
editor,48
effect,274
effective,93
effects,181
efficiency,15
efficient,28
efficiently,1
efforts,23
egg,149
eggs,141
eggshell,1
egyptians,16
eight,92
either,545
el,56
electric,423
electrical,398
electrically,18
electricians,1
electricity,147
electrodes,31
electromagnetic,157
electron,77
electronics,15
electrons,104
element,567
elements,205
elephants,15
elevation,68
elevations,10
elevator,30
elevenyearold,0
eliminate,19
eliminated,10
eliminates,2
eliminating,4
elk,14
else,119
embryo,61
embryonic,20
embryos,13
emerge,17
emergencies,8
emission,51
emissions,13
emit,14
emitted,36
empty,106
enable,21
enabled,2
enables,50
encircles,6
encoder,0
encountering,0
encounters,4
encourages,11
end,674
endangered,21
endocrine,30
endothermic,3
ends,198
energy,467
energyproducing,0
energysaving,0
engine,289
engineer,115
engineers,0
engines,39
england,563
engulf,9
enhanced,1
enormous,57
enough,108
ensure,5
ensures,2
enter,48
entered,37
entering,41
enters,46
entire,114
entirely,53
environment,110
environmental,39
environmentally,0
environments,9
enzyme,97
enzymes,33
epidemic,35
epidermis,23
epithelial,39
equal,957
equally,26
equals,27
equation,54
equations,22
equator,56
equatorial,30
equilibrium,63
equinox,27
equipment,299
eroded,3
erodes,0
eroding,1
erosion,54
error,77
errors,33
erupted,26
eruption,49
eruptions,15
escaping,15
esophagus,33
especially,1201
essential,163
established,274
establishing,33
establishment,94
estimate,34
estimated,18
estimating,6
estuaries,14
estuary,15
ethan,1
ethane,4
ethanol,11
ethanolgasoline,0
ethical,34
euglena,3
euglenas,0
eukarya,0
eukaryote,2
eukaryotic,24
europa,4
evaluate,8
evaluating,7
evaporate,0
evaporated,5
evaporates,1
evaporating,1
evaporation,11
even,93
evening,87
evenly,17
event,354
events,259
eventually,44
ever,15
evergreen,1133
every,102
everyone,7
everywhere,23
evidence,149
evolution,75
evolved,29
evolving,0
exact,39
exactly,40
examination,129
examine,14
examined,4
examining,34
example,51
examples,9
excellent,25
except,120
excess,136
exchange,188
exclude,13
excluded,14
excrete,3
excretory,23
exercise,145
exercising,23
exert,15
exerted,28
exerts,11
exfoliation,2
exist,45
existed,24
existing,70
exists,72
exothermic,1
expand,15
expanded,35
expands,16
expect,5
expected,85
expel,3
expensive,31
experience,175
experienced,47
experiences,40
experiment,43
experimental,29
experimentation,9
experimenting,3
experiments,24
explain,24
explaining,15
explains,20
explanation,51
explanations,1
exploded,3
exploding,11
explore,25
exposed,58
exposure,134
expressing,94
expression,306
extensive,55
extensively,45
external,202
extinct,333
extinction,19
extinctions,0
extinguished,8
extinguisher,6
extra,72
extracted,56
extrasolar,0
extreme,257
extremely,139
extrusive,2
eye,368
eyeglass,3
eyeglasses,4
eyes,229
eyesight,8
eyespot,5
f,30
fabry,0
faces,55
facial,98
facilitate,18
facilitates,12
fact,115
factor,179
factories,3
factors,51
facts,96
fade,2
fading,3
fair,48
fairly,13
fall,141
fallen,15
falling,66
falls,93
families,135
family,4267
fan,88
far,110
farm,123
farmer,29
farmers,18
farmland,3
farms,7
farther,6
farthest,17
fast,113
faster,14
fastest,4
fat,131
father,240
fatigue,30
fats,52
faucet,12
faucets,0
faulting,4
faults,10
favored,27
favorite,36
fear,113
feathers,71
feature,47
features,75
fed,35
feed,259
feeding,90
feeds,142
feel,39
feels,10
feet,437
felipe,0
fell,22
felt,61
female,368
females,38
fence,56
fern,706
fernandez,2
ferris,2
fertile,95
fertilization,39
fertilized,22
fertilizer,46
fertilizers,5
fetus,89
fever,290
fewer,7
fibers,198
fibrous,99
field,542
fields,92
fierce,13
fifth,80
figure,168
filaments,36
file,123
filings,0
fill,59
filled,182
filling,54
fills,26
filter,42
filtered,0
filterpaper,0
filtration,8
final,135
finally,11
financial,203
find,60
finding,39
findings,10
finds,17
fine,212
finger,113
fingerprints,9
finish,64
finished,25
finishing,33
fins,105
fir,93
fire,420
fires,51
fireworks,5
first,1354
firstaid,0
firstlevel,0
fish,965
fisheries,1
fishing,93
fission,38
fit,60
five,183
fixation,22
fixed,227
flagellum,8
flame,65
flammable,67
flares,3
flash,46
flashlight,9
flat,528
flats,14
flattened,135
flawed,0
flew,5
flexibility,11
flexible,149
flickers,0
flies,125
flight,197
flipping,5
float,38
floating,109
floats,19
flood,41
flooded,9
flooding,13
floor,167
floors,13
florida,304
flosses,0
flossing,0
flour,130
flourish,12
flow,317
flower,664
flowering,167
flowers,5239
flowing,106
flows,384
fluctuate,0
fluctuations,17
fluid,268
fluids,51
fluorescent,28
fluorine,13
fly,195
flying,145
foam,18
focused,12
focuses,21
fog,15
folded,47
folding,64
follow,39
followed,494
following,205
follows,72
food,1131
foods,91
football,120
footprint,4
force,643
forces,337
forecast,7
forecasting,4
foreign,187
forest,136
forested,9
forests,92
fork,21
form,1780
formation,228
formations,16
formed,646
forming,312
forms,540
formula,39
formulating,9
forth,64
forward,132
fossil,124
fossilization,3
fossilized,2
fossils,14
found,1141
four,507
fourchambered,0
fourmonth,0
fox,103
fractured,2
fracturing,1
freckles,0
free,315
freely,71
freeze,14
freezer,2
freezes,5
freezing,44
frequencies,33
frequency,132
frequent,39
fresh,172
freshwater,302
friction,67
frictional,3
frictionless,2
friend,52
friendly,42
friends,30
frog,103
frogs,39
front,344
frosted,4
frozen,44
fruit,1389
fruits,437
frying,13
ft,5
fuel,134
fueled,2
fuelefficient,0
fueling,1
fuels,13
full,153
fully,41
function,313
functioning,57
functions,117
fungi,503
fungus,372
funnel,10
fur,163
furniture,137
fuses,5
fusion,42
future,145
fwc,0
g,35
gabbro,1
gain,119
gained,44
gains,28
galaxies,11
galaxy,22
galilei,3
galileo,10
gallbladder,9
gallons,9
gamete,15
gametes,37
gametophyte,11
garbage,28
garcia,2
garden,258
gardens,33
gas,476
gaseous,44
gases,99
gasoline,93
gasolinefueled,0
gasolinepowered,0
gather,19
gathered,22
gauge,62
gauges,0
gave,54
gcm,0
gemini,14
gene,111
general,561
generally,157
generate,16
generated,46
generation,55
generations,15
generous,12
genes,62
genetic,104
genetically,27
genome,20
genotype,15
genotypes,0
genus,10231
geode,1
geographic,23
geographical,56
geographically,1
geologic,8
geological,66
geologist,13
geologists,0
geology,29
georgia,81
geothermal,1
germination,12
get,100
gets,10
getting,62
giant,176
giants,6
gibbous,0
gill,22
gills,98
girl,117
girls,18
giselle,0
give,183
given,620
gives,182
giving,211
glacial,21
glaciation,15
glacier,30
glaciers,11
glands,122
glass,345
glasses,9
glassware,6
global,18
globe,63
glories,0
gloves,2
glowed,0
glucose,32
glue,17
glycerol,21
gml,0
go,82
goat,82
goats,26
goes,74
goggles,2
going,80
gold,222
golden,242
goldfish,8
gone,8
good,354
got,1
gradual,68
gradually,44
graduated,35
grains,93
gram,44
grams,21
granite,22
granulated,6
granules,13
grape,121
graph,15
graphs,4
grass,803
grasses,149
grasshopper,14
grassland,20
grasslands,34
grassy,33
gravel,30
gravitational,40
gravity,74
gray,78
grazing,44
great,861
greater,153
greatest,79
greatly,35
greece,149
greeks,52
green,1011
greener,2
greenhouse,31
greta,2
grew,7
grilling,1
grinding,51
grocery,10
ground,715
groundwater,1
group,1667
grouped,8
groups,231
grouse,74
grow,95
growing,303
grown,702
grows,128
growth,284
guanine,7
guess,5
guide,81
guinea,163
gulf,326
gull,34
gum,243
gymnasium,4
h,26
habit,65
habitat,8
habitats,58
habits,18
hail,12
hailstorm,2
hair,424
hairs,104
half,221
halve,0
hammer,59
hand,459
handle,163
hands,156
handwriting,25
happen,36
happened,12
happens,43
hard,778
hardest,2
hardness,17
hardware,32
harm,46
harmed,2
harmful,37
harnessing,0
harsh,38
hartley,2
harvest,27
harvested,15
hat,148
hatch,21
hatching,4
hawaii,60
hawk,66
hawks,17
hay,118
hazardous,9
hcl,0
headaches,1
heading,24
heal,7
heals,4
health,194
healthier,0
healthy,48
hear,10
heard,38
hearing,84
heart,452
heat,330
heated,77
heater,37
heating,85
heats,4
heavier,3
heavy,497
height,85
heights,11
held,281
helens,6
helium,25
heliumfilled,0
helmet,45
help,94
helped,68
helpful,15
helps,93
hematite,6
hemisphere,334
henri,27
herbicides,4
herbivore,5
herbivores,0
herd,21
heredity,19
herring,41
heterotroph,1
heterotrophs,0
heterozygous,1
hibernate,0
hibernation,4
hidden,27
hide,30
high,798
higher,188
highest,214
highly,357
highpressure,0
hill,64
hills,48
hillside,4
himalayas,48
hind,123
hire,19
history,160
hit,101
hitting,66
hold,299
holding,330
holds,273
hole,194
holes,108
hollow,166
home,311
homeostasis,1
homes,12
homework,2
homologous,15
homozygous,8
horizontal,172
horizontally,21
hormone,200
horse,419
horses,141
horseshoe,36
hospitals,6
hot,263
hotter,0
hottest,0
hour,75
hourly,0
hours,62
house,466
household,63
houseplant,63
houses,61
however,1
human,758
humans,232
humid,6
humidity,10
humus,14
hundred,43
hungry,1
hunt,51
hunted,8
hunting,93
hunts,21
hurricane,7
hurricanes,2
hybrid,75
hydraulic,24
hydroelectric,6
hydroelectricity,1
hydrogen,127
hydropower,0
hydrosphere,3
hydroxide,37
hypotheses,9
hypothesis,21
hypothesized,8
hypothesizes,0
hzn,0
ice,309
iced,8
idea,110
ideas,149
identical,39
identification,84
identified,90
identify,42
igneous,21
ignited,9
ill,56
illness,75
illuminating,5
illustrated,8
illustrates,1
image,181
images,96
imbalance,9
immediately,71
immune,94
immunity,58
immunodeficiencies,0
impact,50
impacts,1
implement,100
importance,113
important,592
importation,3
impossible,33
improve,59
improved,13
improves,9
improving,25
impulse,45
impulses,52
impurities,24
inability,110
incandescent,7
incisions,7
incline,4
include,91
included,350
includes,416
including,498
incomplete,44
inconsistent,4
increase,209
increased,58
increases,87
increasing,48
indefinite,45
independent,253
india,556
indicate,159
indicated,38
indicates,88
indication,50
indicator,67
individual,260
individuals,103
indoor,12
industrial,244
industries,20
industry,158
inertia,3
inexhaustible,0
inexpensive,27
infected,62
infecting,3
infection,289
infectious,111
inference,11
inferred,25
infiltration,6
inflate,6
influence,174
influenced,110
influences,16
inform,0
information,658
informed,3
infrared,35
ingredients,27
inhabit,24
inhabitant,325
inhabited,18
inhale,2
inherit,6
inheritance,30
inherited,77
initial,43
initially,12
injuries,13
inland,42
inner,170
inorganic,12
input,57
inquiring,3
inquiry,24
insect,224
insecticide,28
insecticides,7
insects,313
insert,13
inside,201
insoluble,30
instead,103
instructions,57
instruments,110
insulated,11
insulation,16
insulator,6
insulin,71
integumentary,1
intelligence,289
intelligent,23
intended,414
intense,157
intensified,1
intensifies,0
interact,16
interacted,0
interaction,62
interbreed,1
interfere,7
interference,27
interior,113
internal,229
internet,35
interpret,13
interrupts,24
intervals,48
interviews,3
intestine,55
intestines,76
introduce,10
introduced,274
introduction,52
intrusive,9
invading,24
invalid,14
invasion,55
invasive,20
invented,108
invention,25
invertebrate,11
invertebrates,26
investigate,6
investigated,1
investigates,20
investigating,1
investigation,51
investigations,13
involve,25
iodine,44
ion,55
irene,1
iron,407
irregular,94
irregularly,21
island,517
islands,522
isotope,33
isotopes,14
issued,137
issues,51
item,85
items,110
ivy,34
j,6
jackrabbit,11
jake,0
janitor,4
january,33
jar,32
jars,0
jaws,75
jefferson,23
jenny,12
jeremy,4
jerry,3
jet,62
jetfueled,0
jetpowered,0
jewelry,84
jo,0
jobs,22
jog,8
john,478
join,73
joining,51
jordan,49
joshua,10
joules,5
journal,23
juice,240
july,27
jump,61
jumping,63
june,40
jupiter,31
k,29
kangaroo,48
kangaroos,13
kcl,0
kclo,0
keen,9
keep,100
keeps,72
kentucky,46
kept,141
kernels,45
keys,33
kg,2
kicked,6
kicks,7
kidney,105
kidneys,31
kids,0
kill,61
killed,101
kills,49
kilogram,28
kilometer,5
kilometers,8
kilowatts,0
kind,384
kinds,54
kinetic,16
