iron tawa/pan/nail | is | left
us | balance hydrogen atoms in | balanced equation
2 × 4 equation | Examine | equation
2 × 4 equation | Examine | above equation
2 × 4 equation | Atoms of | hydrogen
2 × equation | Examine | equation
would Fe Science 4 2018-19 Step V | is In | products 2
2 × equation | would | would Fe Science 4 2018-19 Step V
2 × equation | Atoms of | hydrogen Initial
2 × equation | Atoms of | i
2 × equation | would | In products 2 would Fe Science 4 2018-19 Step V
2 × 4 equation | Atoms of | hydrogen Initial
2 × 4 equation | Atoms of | i
2 × equation | Atoms of | hydrogen
2 × equation | Examine | above equation
that | is | iron
element | be | balanced
we | take | three atoms of Fe
we | take | three atoms
we | count | atoms of element on sides of equation
1.9 | are | equal
we | make | trials
trials | balance | equation
Symbols | examine | above balanced Eq
Symbols | examine | balanced Eq
Symbols | Carefully examine | Eq
Symbols | examine | above Eq
Symbols | Carefully examine | above Eq
Symbols | examine | Eq
Symbols | Carefully examine | above balanced Eq
Symbols | Carefully examine | balanced Eq
physical states | make | equation informative
physical states | are mentioned along with | their chemical formulae
states | make | equation more informative
physical states | make | chemical equation informative
states | make | chemical equation more informative
states | make | equation informative
states | make | chemical equation informative
physical states | are | mentioned
states | are mentioned along with | their chemical formulae
physical states | make | chemical equation more informative
states | are | mentioned
physical states | make | equation more informative
states | are | represented by
gaseous states | are | represented
states | are | represented
gaseous states | are | represented by
word | is | written
word aqueous | is | written
solution | is in | water
symbol g | is used | indicate
symbol g | is used with | H2O
symbol g | is | used
temperature | are indicated in | equation
temperature | are | indicated
temperature | are | indicated above below arrow in equation
temperature | are indicated above | above arrow
I | O | N S 1
magnesium ribbon | should | should cleaned
magnesium ribbon | burning in | air
magnesium ribbon | should | Why should cleaned
balanced chemical equation | is with | state symbols for following reaction
s. Solutions | is in | water
s. Solutions | give | insoluble barium sulphate
s. Solutions | give | barium sulphate
insoluble barium sulphate | solution of | sodium chloride
barium sulphate | solution of | sodium chloride
Sodium hydroxide solution | reacts with | hydrochloric acid solution
Sodium hydroxide solution | reacts with | acid solution
hydrochloric acid solution | is in | water
Sodium hydroxide solution | reacts with | hydrochloric acid solution in water
Sodium hydroxide solution | is in | water
Sodium hydroxide solution | reacts with | acid solution in water
Sodium hydroxide solution | produce | sodium chloride solution
atoms | do disappear from | mixture
reactions | Actually involve | breaking
reactions | involve | breaking
chemical reactions | Actually involve | breaking
chemical reactions | involve | breaking
chemical reactions | involve | breaking of bonds between atoms
reactions | involve | breaking of bonds
reactions | Actually involve | breaking of bonds
chemical reactions | involve | breaking of bonds
chemical reactions | Actually involve | breaking of bonds
reactions | Actually involve | breaking of bonds between atoms
chemical reactions | Actually involve | breaking of bonds between atoms
reactions | involve | breaking of bonds between atoms
You | will study about | types of bonds formed between atoms in Chapters 3
You | will study about | types of bonds formed
You | will study about | types
atoms | is in | Chapters 3
You | will study about | types of bonds
You | will study about | types of bonds formed between atoms
reaction | is with | water
n n n n Figure | small amount of | calcium oxide
1.4 n n n n Figure | Take amount in | beaker
1.4 n n n n Figure | Take | small amount of calcium oxide
1.4 n n n n Figure | small amount of | calcium oxide
1.4 n n n n Figure | Take | small amount
n n n n Figure | Take amount in | beaker
n n n n Figure | Take | amount
1.4 n n n n Figure | amount of | calcium oxide
n n n n Figure | Take | amount of calcium oxide
n n n n Figure | Take | small amount of calcium oxide
1.4 n n n n Figure | Take | amount
1.4 n n n n Figure | Take | amount of calcium oxide
n n n n Figure | amount of | calcium oxide
n n n n Figure | Take | small amount
you | Do feel | change in temperature
Calcium oxide | reacts vigorously with | water
lime | releasing | large amount
Calcium oxide | reacts with | water
lime | amount of | heat
Calcium oxide | reacts with | water produce
slaked lime | releasing | large amount
Calcium oxide | reacts vigorously with | water produce
lime | releasing | amount of heat
slaked lime | releasing | amount of heat
slaked lime | releasing | amount
lime | large amount of | heat
slaked lime | large amount of | heat
lime | releasing | amount
slaked lime | releasing | large amount of heat
lime | releasing | large amount of heat
slaked lime | amount of | heat
CaO | form | product
reaction | In CaO is | Quick lime
CaO | form | single product
CaO | is In | reaction
CaO | form | calcium hydroxide
reaction | In CaO is | s
product | is formed from | reactants
product | is | in which formed from reactants
single product | is formed from | reactants
single product | is | in which formed from reactants
Calcium hydroxide | reacts with | carbon dioxide
Calcium hydroxide | form | layer of calcium carbonate
Calcium hydroxide | reacts slowly with | carbon dioxide
Calcium hydroxide | form | thin layer of calcium carbonate
Calcium hydroxide | form | layer
Calcium hydroxide | form layer on | walls
carbon dioxide | is in | air
Calcium hydroxide | form | thin layer
Calcium hydroxide | reacts slowly with | carbon dioxide in air
Calcium hydroxide | reacts with | carbon dioxide in air
Calcium carbonate | gives finish to | walls
Calcium carbonate | gives | shiny finish
Calcium carbonate | gives | finish
Calcium carbonate | is | formed
It | is | interesting
formula | is | CaCO3
formula | is | also CaCO3
chemical formula | is | also CaCO3
chemical formula | is | CaCO3
us | discuss | examples of combination reactions
us | examples of | combination reactions
us | discuss | more examples of combination reactions
us | more examples of | combination reactions
O2 → CO2 Formation | is In | simple language
we | also observed In | Activity 1.4
large amount | is | evolved
amount | is | evolved
we | observed In | Activity 1.4
This | makes | reaction mixture warm
Reactions | is released along with | formation of products
Reactions | is | released
Reactions | is released along with | formation
Reactions | is in | heat
examples | are | Burning
examples | are Burning of | natural gas CH4
examples | are Burning of | g
respiration | is | exothermic
examples | are Burning of | gas CH4
we | need | energy
we | stay | alive
potatoes | contain carbohydrates For | example
potatoes | contain | carbohydrates
potatoes | contain | bread
oxygen | is in | cells of our body
you | will study in | Chapter 6
name | is | respiration
special name | is | respiration
decomposition | is | example
decomposition | is | also example
You | can also smell | odour of sulphur
You | can smell | characteristic odour
You | can smell | characteristic odour of burning sulphur
You | can also smell | characteristic odour of sulphur
You | can smell | characteristic odour of sulphur
You | can smell | odour of burning sulphur
You | can smell | odour of sulphur
You | can also smell | odour
You | can also smell | characteristic odour
You | can also smell | characteristic odour of burning sulphur
You | can smell | odour
You | can also smell | odour of burning sulphur
This | is | decomposition reaction
Ferrous sulphate crystals | lose | water
It | decomposes to | ferric oxide
It | decomposes to | Fe2O3
It | decomposes to | oxide
Ferric oxide | is | solid
SO2 | are | gases
SO2 | gases | SO3
Decomposition | is | important decomposition reaction
Decomposition | is | important
Decomposition | is | decomposition reaction used
Decomposition | is | important decomposition reaction used in industries
Decomposition | is | important decomposition reaction used
Decomposition | is | decomposition reaction
Decomposition | is | decomposition reaction used in various industries
important decomposition reaction | used in | industries
decomposition reaction | used in | various industries
decomposition reaction | used in | industries
Decomposition | is | important decomposition reaction used in various industries
Decomposition | is | decomposition reaction used in industries
important decomposition reaction | used in | various industries
Calcium oxide | is called | lime
Calcium oxide | is | called
uses | is in | manufacture of cement
many uses | is in | manufacture of cement
it | is | called
it | is called | thermal decomposition
it | is called | decomposition
Activity n n n Figure | Take | about 2 g lead powder
Activity 1.6 n n n Figure | Take | about 2 g lead nitrate powder
Activity n n n Figure | Take | about 2 g lead nitrate powder
Activity 1.6 n n n Figure | Take | about 2 g lead powder
flame | shown in | Fig. 1.5
You | will observe | emission of fumes
You | will observe | emission
You | will observe | emission of brown fumes
us | given in | Activities
us | perform | more decomposition reactions
us | perform | decomposition reactions
1.7 n n n n n n n n n n n | Take | plastic mug
n n n n n n n n n n n | Take | mug
n n n n n n n n n n n | Take | plastic mug
1.7 n n n n n n n n n n n | Take | mug
its base | is in | holes
Insert carbon electrodes | shown in | Fig. 1.6
carbon electrodes | shown in | Fig. 1.6
Insert carbon electrodes | is in | rubber stoppers
electrodes | are | immersed
two test tubes | filled with | water
two test tubes | invert | them
You | will observe | formation
You | will observe | formation of bubbles
You | will observe formation at | electrodes
collected | same in | test tubes
test tubes | Once are filled with | respective gases
test tubes | Once are filled with | gases
test tubes | are | Once filled
test tubes | are | filled
test tubes | are filled with | respective gases
test tubes | are filled with | gases
Place | is in | sunlight
silver chloride | turns | grey in sunlight
silver chloride | turns | grey
white silver chloride | turns | grey
white silver chloride | turns | grey in sunlight
This | is | chloride
This | is | chloride turns
This | is | Silver chloride
This | is | Silver chloride turns
Sunlight 2AgCl 2Ag 9 Chemical Reactions | behaves | Equations 2018-19 Silver bromide
Sunlight 2AgCl → 2Ag Chemical Reactions | behaves | Equations 2018-19 Silver bromide
Sunlight 2AgCl → 2Ag 9 Chemical Reactions | also behaves | Equations 2018-19 Silver bromide
Sunlight 2AgCl → 2Ag 9 Chemical Reactions | behaves | Equations 2018-19 Silver bromide
Sunlight 2AgCl → 2Ag Chemical Reactions | also behaves | Equations 2018-19 Silver bromide
Sunlight 2AgCl 2Ag Chemical Reactions | also behaves | Equations 2018-19 Silver bromide
Sunlight 2AgCl 2Ag 9 Chemical Reactions | also behaves | Equations 2018-19 Silver bromide
Sunlight 2AgCl 2Ag Chemical Reactions | behaves | Equations 2018-19 Silver bromide
2AgBr | are | used in photography
2AgBr | are | used in black photography
2AgBr | are | used
decomposition reactions | require energy in | form of heat
decomposition reactions | require | energy
decomposition reactions | require energy in | form
energy | is | absorbed
energy | is | in which absorbed
following Activity | Take | about 2 g barium hydroxide
Activity | Take | about 2 g barium hydroxide
mix | is with | help of glass rod
1 g | mix with | help
1 g | mix with | help of glass rod
bottom | is with | your palm
X | is used for | whitewashing
I | O | N S solution of substance
X | is | used
I | O | N S solution
X | named in | i above with water
X | named in | i
is | amount of | gas collected in one test tubes
is | amount of | gas
is | amount of | gas collected in one of test tubes
is | amount of | gas collected in one of test tubes in Activity
is | amount of | gas collected
test tubes | is in | Activity
is | amount of | gas collected in one test tubes in Activity
copper sulphate solution | is in | test tube B
two iron nails | immerse | them
colour | dipped with | one
colour | dipped in | copper sulphate solution
Science 10 2018-19 Figure 1.8 Iron nails | fades | copper sulphate solutions
chemical reaction | takes | place
following chemical reaction | takes | place
iron | displaced | copper
copper sulphate solution | from element is | copper
They | displace | copper
They | displace copper from | its compounds
1.10 n n n n | Take | about 3 mL
1.10 n n n n | Take | about 3 mL of sodium sulphate solution
n n n n | Take | about 3 mL of sodium sulphate solution
n n n n | Take | about 3 mL
white precipitate | is | formed
white precipitate | is | formed by
precipitate | is | formed
precipitate | is | formed by
exchange | are called | displacement reactions
exchange | are | called
exchange | are called | double displacement reactions
you | have mixed | solutions of lead
you | solutions of | lead
you | have mixed | solutions
surface | becomes | coated
surface | becomes | coated with black copper
surface | becomes | coated with copper
added | is | formed
reverse reaction | takes | place
brown | black coating on | surface
reaction | takes | place
place | reaction | copper
place | reverse reaction | copper
brown | coating on | surface
substance gains oxygen | If Cu is | it
it | is said | reduced
substance | loses | oxygen
it | is | said
substance | loses oxygen during | reaction
it | be | reduced
copper oxide | is losing oxygen During | 1.29
copper II oxide | being | reduced
copper II oxide | is losing oxygen During | 1.29
copper oxide | being | reduced
copper oxide | is losing | oxygen
copper II oxide | is losing | oxygen
hydrogen | is gaining | oxygen
hydrogen | being | oxidised
other | gets | reduced
reactant | gets oxidised In | words
one reactant | gets | oxidised
reactant | gets oxidised In | other words
reactant | gets | oxidised
one reactant | gets oxidised In | other words
other | gets reduced during | reaction
one reactant | gets oxidised In | words
reactions | are called | oxidation-reduction reactions
Such reactions | are | called
Such reactions | are called | oxidation-reduction reactions
Such reactions | are called | reactions
reactions | are called | reactions
reactions | are | called
Science 12 2018-19 | is In | reaction
1.32 HCl | is | In reaction oxidised to Cl2
1.32 HCl | is oxidised In | reaction
1.32 HCl | is oxidised to | Cl2
1.32 HCl | is | oxidised
MnO2 | is reduced to | MnCl2
HCl | is oxidised to | Cl2
MnO2 | is | reduced
HCl | is | oxidised
HCl | is | In reaction oxidised to Cl2
HCl | is oxidised In | reaction
we | can say From | above examples
we | can say From | examples
substance | loses | oxygen hydrogen
substance | loses oxygen hydrogen during | reaction
it | is | reduced
dazzling flame | is in | air
magnesium ribbon burns | is with | dazzling flame in air
magnesium | being | oxidised
YOU | OBSERVED | EFFECTS OF O REA CTIONS
YOU | EFFECTS OF | O REA CTIONS
YOU | OBSERVED | EFFECTS
YOU | OBSERVED | EFFECTS IN EVERYD AY LIFE
EFFECTS | is IN | EVERYD AY LIFE
YOU | OBSERVED | EFFECTS OF O REA CTIONS IN EVERYD AY LIFE
YOU | EFFECTS IN | EVERYD AY LIFE
iron articles | are | shiny
metals | get | also tarnished
metals | get | tarnished
other metals | get | tarnished
other metals | get | also tarnished
you | Have noticed | colour
you | Have noticed | colour of coating formed
you | Have noticed | colour of coating
you | Have noticed | colour of coating formed on copper
it | is said | corrode
metal | is attacked by | substances
it | is | said
metal | is attacked around | it
metal | is | attacked
metal | is | When attacked by substances
metal | is | attacked by substances around it
metal | is | When attacked by substances around it
metal | is | When attacked around it
metal | is | When attacked
coating | are | other examples
black coating | are other examples of | corrosion
black coating | are | other examples
black coating | are | examples
coating | are other examples of | corrosion
black coating | are examples of | corrosion
coating | are examples of | corrosion
coating | are | examples
Corrosion | is | serious
Corrosion | is | serious problem
Corrosion | is | problem
amount | replace | damaged iron
enormous amount | replace | damaged iron
amount | is spent at_time | year
amount | replace | iron
enormous amount | is spent at_time | year
enormous amount | replace | iron
You | will learn | more about corrosion
You | will learn | more
fat/oil | left for | long time
fat/oil | left for | time
fat/oil | containing | food materials
fats | oxidised | oils
they | become | change
fats | are | When oxidised
they | become | rancid change
fats | are | oxidised
I | O | N 1
iron nail | is | dipped
iron nail | is | when dipped
iron nail | is dipped in | it
iron nail | is | when dipped in it
numbers | are | same
numbers | are same on | reactant sides
equation | is | balanced
chemical equation | is | balanced
numbers | are same on | reactant sides of equation
Equations | must | must balanced
Equations | must | must always balanced
substances | form | new single substance
substances | form | new substance
substances | form | single substance
substances | combine In | combination reaction
substances | form | substance
Decomposition reactions | are | opposite
Decomposition reactions | are opposite to | combination reactions
single substance | decomposes In | decomposition reaction
substance | decomposes In | decomposition reaction
Reactions | is in | heat
energy | is | absorbed
energy | is | in which absorbed
its | compound | displacement reaction
Precipitation reactions | produce | insoluble salts
Precipitation reactions | produce | salts
Reactions | involve | gain of oxygen
Reactions | also involve | gain by substances
Reactions | involve | gain by substances
Reactions | also involve | gain of oxygen
Reactions | also involve | gain of oxygen by substances
Reactions | involve | gain
Reactions | involve | gain of oxygen by substances
Reactions | also involve | gain
Oxidation | is | gain
Oxidation | is gain of | oxygen
Reduction | is | loss
Reduction | is loss of | oxygen
C s | → | 2Pb
b Carbon dioxide | is getting | oxidised
c Carbon | is getting | oxidised
oxide | is | is reduced
Lead oxide | is | is reduced
acid | is | when added
acid | is | added
dilute hydrochloric acid | is | when added
hydrochloric acid | is | when added
dilute hydrochloric acid | is | added
dilute hydrochloric acid | iron | fillings
hydrochloric acid | is | added
hydrochloric acid | iron | fillings
dilute acid | is | when added
dilute acid | is | added
dilute acid | iron | fillings
acid | iron | fillings
Hydrogen gas | are | produced
Hydrogen gas | produced | iron chloride
b Chlorine gas | are | produced
b Chlorine gas | produced | iron hydroxide
d Iron salt | are | produced
d Iron salt | produced | water
chemical equations | should | Why should balanced
chemical equations | should | should balanced
following statements | balance | them
statements | balance | them
Hydrogen gas | combines with | nitrogen
b Hydrogen sulphide gas burns | is in | air
b Hydrogen sulphide gas burns | give | water
c Barium chloride | give | aluminium chloride
c Barium chloride | reacts with | aluminium sulphate
Potassium metal | give | potassium hydroxide
Potassium metal | reacts with | water
Calcium hydroxide | nitrate | → Zinc nitrate Aluminium
equation | identify type in | case
balanced chemical equation | identify type in | case
balanced equation | identify type in | case
chemical equation | identify type in | case
decomposition reactions | are called | opposite of combination reactions
decomposition reactions | are | Why called
decomposition reactions | are called | opposite
decomposition reactions | are | called
energy | is | where supplied in form
energy | is supplied in | form
energy | is supplied in | form of heat
energy | is | where supplied
energy | is | supplied
energy | is | where supplied in form of heat
terms | is with | two examples
shiny brown element X | becomes | black
coloured element X | becomes in | colour
heating | is in | air
coloured element X | becomes | black
shiny brown element X | becomes in | colour
brown element X | becomes | black
shiny coloured element X | becomes in | colour
brown coloured element X | becomes in | colour
element X | becomes in | colour
brown element X | becomes in | colour
shiny element X | becomes | black
brown coloured element X | becomes | black
shiny brown coloured element X | becomes in | colour
shiny element X | becomes in | colour
shiny brown coloured element X | becomes | black
element X | becomes | black
shiny coloured element X | becomes | black
element | formed | compound
element | formed | black coloured compound
element | formed | black compound
element | formed | coloured compound
we | do apply paint on | iron articles
we | do apply | paint
Oil | are | flushed
Oil | flushed | fat
Oil | are flushed with | nitrogen
Corrosion Rancidity Group Activity | Perform | following activity
Corrosion Rancidity Group Activity | Perform | activity
n | label | them
two spatulas | nitrate to | beakers
n | Add | two spatulas
n | Add | ammonium nitrate
n | Add | two spatulas of potassium sulphate
n | Add | ammonium nitrate to beakers
n | record | temperature of each mixture
n | record | temperature of each of mixture
n | record above | temperature
n | record above | temperature of each mixture
n | record | temperature
n | record above | temperature of each of mixture
sour tastes | are | due
sour tastes | are due to | acids
tastes | are due to | acids
tastes | are | due
someone | is in | family
someone | is suffering from | problem
someone | is suffering from | problem of acidity
n n | choosing | remedy
other | has | effect
we | tested | substances
sour substances | tasting | them
we | tested | sour substances
substances | tasting | them
acids | are | sour
acids | change | colour of litmus
change | colour of | blue litmus to red
change | colour of | blue litmus
change | colour of | litmus to red
acids | change | colour
acids | change | colour of blue litmus
acids | change | colour of blue litmus to red
change | colour of | litmus
acids | are sour in | taste
acids | change | colour of litmus to red
Litmus | is | natural
stain | becomes | reddish-brown
cloth | is | when washed with plenty water
cloth | is washed with | plenty water
cloth | is | when washed with plenty of water
It | turns | yellow
cloth | is washed with | plenty of water
cloth | is | when washed
cloth | is | washed
It | turns again | yellow
You | can also use | synthetic indicators
You | can use | synthetic indicators
You | can also use | indicators
You | can use | indicators
You | test for | acids
acids | cancel | bases
acids | many more interesting things | bases
acids | more interesting things | bases
we | see in | our day-to-day life
other | out | effects
plant | belonging to | division Thallophyta
Litmus solution | is | purple dye
Litmus solution | is | dye
solution | is | purple
litmus solution | is | When acidic
litmus solution | is | acidic
its colour | is | purple
presence | is in | solution
These | are called | acid-base indicators
These | are called | indicators
These | are | called
You | have | have provided
You | have | have provided with three test tubes
water | contain | acidic solution
distilled water | contain respectively | acidic solution
distilled water | contain | solution
water | contain | other two
water | contain | solution
water | contain respectively | acidic solution
water | contain respectively | other two
distilled water | contain | acidic solution
water | contain respectively | solution
distilled water | contain | other two
distilled water | contain respectively | solution
distilled water | contain respectively | other two
you | are given | only red litmus paper
you | are given | red litmus paper
you | are given | only litmus paper
you | will identify | contents of test tube
you | are given | litmus paper
1 UNDERST ACIDS | is in | Laboratory Activity
change | is in | colour
your observations | is in | Table 2.1
substance | is acidic by | change
change | is in | colour
substance | is acidic by | change in colour
substance | is | acidic
whose odour changes | is in | acidic media
These | are called | olfactory indicators
These | are called | indicators
These | are | called
2.2 n n n | Take onions along with | strips of cloth
n n n | Take onions along with | strips of cloth
2.2 n n n | Take | finely chopped onions
n n n | Take | finely chopped onions
2.2 n n n | Take onions along with | strips
n n n | Take onions along with | strips
n n n | Take onions in | bag
n n n | Take | chopped onions
n n n | Take onions along with | strips of clean cloth
2.2 n n n | Take | chopped onions
n n n | Take onions in | plastic bag
2.2 n n n | Take onions along with | strips of clean cloth
n n n | Take | onions
2.2 n n n | Take onions in | plastic bag
2.2 n n n | Take | onions
2.2 n n n | Take onions in | bag
cloth strips | can | can used
cloth strips | test for | acids
cloth strips | can | can now used
them | put | drops of HCl solution
them | put | drops of dilute HCl solution
them | put drops on | one strip
them | put | drops
them | put | few drops of HCl solution
them | put | few drops of dilute HCl solution
them | put | few drops
Science 18 2018-19 n n n n n Rinse | again check | their odour
Science 18 2018-19 n n n n n Rinse | check | their odour
Science 18 2018-19 n n n n n Rinse cloth strips | is with | water
some | check | their odour
some | dilute | vanilla essence
dilute NaOH solution | is in | another
odour | record changes in | odour
record changes | is in | odour
odour | changes if | any
odour | record changes if | any
odour | changes in | odour
change | record | your observations
change | is in | odour of clove oil
change | is with | dilute HCl
vanilla | can | can used as indicators on basis
vanilla | can | of these can used as olfactory indicators on basis
vanilla | can | of these can used as olfactory indicators
vanilla | can | can used as olfactory indicators on basis
vanilla | can | of these can used
vanilla | can | of these can used as indicators on basis of your observations
vanilla | can | of these can used as indicators on basis
vanilla | can | of these can used as indicators
vanilla | can | can used
vanilla | can | can used as olfactory indicators on basis of your observations
vanilla | can | can used as indicators on basis of your observations
vanilla | can | can used as indicators
vanilla | can | can used as olfactory indicators
vanilla | can | of these can used as olfactory indicators on basis of your observations
us | understand | chemical properties
us | understand | chemical properties of acids
us | do | more activities
us | do | activities
Acids | React with | Metals
Acids | React | Bases
teacher | has | assistance
n | Set | apparatus
n | shown in | Fig. 2.1
n | add | pieces of zinc granules
n | add pieces to | it
n | add | pieces
n | add | few pieces
n | Take | about 5 mL
